1,Vas,2024.08.19.13.58.49.817,56,How hungry do you feel right now?,Not at all hungry,Extremely hungry,0,100
1,Vas,2024.08.19.13.58.51.906,56,How full do you feel right now?,Not at all full,Extremely full,0,100
1,Vas,2024.08.19.13.58.54.749,80,How thirsty do you feel right now?,Not at all thirsty,Extremely thirsty,0,100
1,Vas,2024.08.19.13.58.56.403,81,How strong is your desire to eat right now?,Very weak,Very strong,0,100
1,Vas,2024.08.19.13.58.58.179,74,How much do you think you could eat right now?,Nothing at all,A large amount,0,100
1,Vas,2024.08.19.13.59.00.140,79,How clearheaded do you feel right now?,Not at all clearheaded,Extremely clearheaded,0,100
1,Vas,2024.08.19.13.59.01.654,82,How tired do you feel right now?,Not at all tired,Extremely tired,0,100
1,Vas,2024.08.19.13.59.03.037,75,How headachy do you feel right now?,Not at all headachy,Extremely headachy,0,100
1,Vas,2024.08.19.13.59.04.739,73,How calm do you feel right now?,Not at all calm,Extremely calm,0,100
1,Vas,2024.08.19.13.59.07.329,78,How energetic do you feel right now?,Not at all energetic,Extremely energetic,0,100
111,Vas,2024.08.27.10.25.24.292,80,How hungry do you feel right now?,Not at all hungry,Extremely hungry,0,100
111,Vas,2024.08.27.10.25.26.263,87,How full do you feel right now?,Not at all full,Extremely full,0,100
111,Vas,2024.08.27.10.25.27.857,91,How thirsty do you feel right now?,Not at all thirsty,Extremely thirsty,0,100
111,Vas,2024.08.27.10.25.30.042,92,How strong is your desire to eat right now?,Very weak,Very strong,0,100
111,Vas,2024.08.27.10.25.31.633,90,How much do you think you could eat right now?,Nothing at all,A large amount,0,100
111,Vas,2024.08.27.10.25.33.209,93,How clearheaded do you feel right now?,Not at all clearheaded,Extremely clearheaded,0,100
111,Vas,2024.08.27.10.25.34.796,89,How tired do you feel right now?,Not at all tired,Extremely tired,0,100
111,Vas,2024.08.27.10.25.36.741,91,How headachy do you feel right now?,Not at all headachy,Extremely headachy,0,100
111,Vas,2024.08.27.10.25.37.987,90,How calm do you feel right now?,Not at all calm,Extremely calm,0,100
111,Vas,2024.08.27.10.25.39.721,90,How energetic do you feel right now?,Not at all energetic,Extremely energetic,0,100
